,friend,line
81,Monica, Ross!!
82,Chandler, Ross!
83,Monica, How crazy that we’d run into you!
84,Ross," Oh God, thank you! (Runs and gives all of them a group hug.) Umm, uh, Mr.
Stevens I’d like you to meet my friends uh, this is Phoebe, Monica, and Chandler."
85,Phoebe," You’re Elizabeth’s father, huh? I can see now where she gets
her rugged handsomeness."
86,Monica, (obviously attracted to him) Is-is-is there a-a Mrs. Stevens?
87,Chandler, There’s a Mr. Bing!
91,Ross," Okay umm, why don’t we all take a seat, y’know? And uh, and
I’ll get us all some uh some coffees—(He goes to pull out Elizabeth’s
chair, but Paul steps in)—Yeah, why don’t you. (Paul pulls out her chair) Uh and
you guys can talk about whatever, whatever you want. Y’know? Whatever pops into your
head. (He turns his back to Paul and Elizabeth and points to himself for Chandler, Monica,
and Phoebe. Then he goes to order the coffee.)"
92,Monica," Y’know, it is so strange seeing Ross here this time of day,
‘cause usually he’s got the children’s hospital."
93,Phoebe, Yeah. Not looking for dates. (Monica turns in horror.)
95,Monica, And he’s a great brother!
97,Monica, Ohh!
101,Chandler," But uh Ross, Ross is a great guy! I was roommates with him in college.
Uh, funny story… (He starts laughing then notices that Paul isn’t happy.)
You’re roommate in college died didn’t he?"
103,Ross," (returning with the coffee) Okay here we are Paul, Elizabeth. (He sets
down their cups.) So I hope you guys were finding something to talk about."
104,Chandler," Yes, we were just…"
106,Rachel," Hi, I’m sorry I’m late but I am ready, ready to talk you up!
When does Liz’s father get here?"
108,Rachel, Oh! Ross is sooo great!
110,Chandler," Hey honey, you got the kind with the little girl, you said we were
gonna to get the kind with the baby."
111,Monica," No, you said the baby creeps you out."
112,Chandler," No, the little girl creeps me out."
113,Monica, You said the baby.
114,Chandler, Why would the baby creep me out?
115,Monica, Why would the little girl creep you out?
116,Phoebe," (writing frantically) You guys, I’m sorry, could you please talk a
little slower? "
117,Chandler, This is going in your book?
118,Phoebe," Yeah, it’s about relationships. Y’know? The traps, the
pitfalls, what not to do, keep going. This stuff is great!"
119,Monica, What?! Excuse me!
120,Phoebe," And how none of it matters when the people really love each other.
(Chandler and Monica kiss.) And how people will believe anything you tell them as long as
it’s a compliment."
122,Rachel, (seeing him) Oh hi!
124,Rachel," Oh! Well let’s look for them. (Finds some under one of the couch
cushions. It has a pink, fuzzy ball on the key chain.) Oh-oh-hey! Are these them?"
126,Rachel, All right! (Throws them back under the cushion.)
128,Rachel, Oh good.
130,Rachel," (chasing after him) Oh, wait! Sorry, Mr. Paul? Mr. Paul?"
132,Rachel," Paul. Umm, I just wanted you to know that Ross really is a great guy."
134,Rachel, You just don’t look old enough to have a twenty-year-old daughter.
136,Rachel, Oh. We?
138,Rachel," Oh no! Yes! Of course, I know that! I just—I meant y’know are
you still a ‘We’ or are you just ‘You?’"
140,Rachel, (sympathetic) Ohh. So you raised her all on your own?
142,Rachel, Ohh. (She touches his arm for support and likes what she feels) Ooh!
144,Joey, Hey!
145,Chandler, Hey!
146,Phoebe, Hey!
147,Monica, How was your first day?
148,Joey, Pretty great! Except I did get a little attitude from the robot.
149,Chandler," Damn those robots, they’re supposed to be our faithful
servants!"
150,Joey," Anyway, it wasn’t the robot, it was the guy who controls him. Yeah,
he doesn’t like me. He had C.H.E.E.S.E. knock over the sandwich right when I was
reaching for one! Ohh!"
151,Phoebe," Well, why don’t you just get him fired?"
152,Joey," I may have to, I hate to do it, but I’m the star! Y’know?
There’s a limit to how many sandwiches I can eat off the floor. (His cell phone
rings) Excuse me. (Answers it, on phone) Joey Tribbiani. "
154,Joey, Wow!
156,Joey, I’m the lead in Mac and C.H.E.E.S.E.!!
159,Ross, Joey?!
161,Rachel, I was just getting him to like you.
164,Ross, Joey?! Joey!! (He runs into his bedroom.)
165,Rachel," Ross, Joey is not here."
166,Ross," Okay, I’ll just wait for him in here!"
167,Rachel," Ross, it’s okay. You can come out."
169,Ross, (coming out of the bedroom) Oh! Oh my God! I didn’t even see you!
171,Rachel, Bye!
173,Ross, What-what-what the—how da-how did-what the-how did-what?!
174,Rachel," Well, y’know he lost his keys so he was looking for them…"
175,Ross, (incredulous) In your mouth?!
176,Rachel," No! Downstairs! And we got to talking y’know, for like two hours,
and I really liked him so I invited him up here for a cup of coffee."
177,Ross, You were at the coffeehouse!
178,Rachel," Ross, what’s the big deal? So I kissed the guy!"
179,Ross," He is my girlfriend’s father, okay? It’s-it’s, it’s
weird!"
180,Rachel, Wh—You dated my sister!
181,Ross, That was different!
182,Rachel, What? Why?!
183,Ross, This is weird for me!
184,Rachel," Ross look, look this is good for you. Okay? Let’s face it, so far
the guy’s not lovin’ ya! But I can turn that around! I got the inside track! We
can all go out to dinner, y’know? And I can talk you up! Ross, the guy is a very, very
successful lawyer!"
185,Ross, How is that important?
186,Rachel, Oh it’s important!
188,Joey," Apparently, there’s like a million guys out there that can play Mac,
and there’s only this one robot and this one guy who controls it! I didn’t know
he could get me fired! What am I going to do?"
189,Monica," Well y’know Joey, you’re a pretty charming guy."
190,Joey," Thanks, but I kinda have a problem to deal with here."
191,Monica," No sweetie, you’ve got to win over the guy that controls
C.H.E.E.S.E.! You’ve got to kiss some serious robot ass!"
192,Joey," That’s not a bad idea. Yeah. Okay, but if I got to turn on the charm
tomorrow I’m not wasting anymore of it over here with you guys. (Starts to leave, but
stops and turns to Phoebe.) Well, actually I got a little bit saved for you Pheebs.
(Exits.)"
193,Chandler," So do you think uh, Joey’s more charming than me?"
194,Monica, Yeah! That’s why I’m sleeping with him on the side.
195,Chandler," Yeah, you wish. (Stops to think about it and gets depressed.)"
196,Phoebe," (writing in her book) ""You wish."""
197,Monica," Phoebe, stop writing about us!"
198,Phoebe, I’m not writing about you! I’m writing about other people.
199,Chandler, Who?
200,Phoebe, Marcia and Chester.
201,Monica," Okay fine! Fine! Then you know what, I’ll just write about Phyllis!
Hmm!"
202,Chandler, Hmm.
203,Monica, (writing on a piece of paper) Phyllis is sitting in a chair.
204,Chandler, Oh.
205,Phoebe, I see what you’re doing!
206,Monica, (still writing) Phyllis sees what I’m doing.
207,Chandler, Oh-oh.
208,Phoebe," Ooh, I have tasted my own medicine and it is bitter!"
210,Joey," Morning! Hey, how’s my favorite genius and my little robot buddy?!
(Pats C.H.E.E.S.E. on the head.)"
212,Joey," Okay! (He yanks his hand away.) All right. Umm, all right Wayne, level
with me. Okay? I-I keep hearing all these rumors that I might get fired. Okay, they even
have actors coming in to read for my part! Come on man, you-you got to give me a second
chance! I mean, I love-I love this little guy! (He grabs C.H.E.E.S.E.’s arm and pulls
it off at the elbow.) Ah-ah!! (Wayne is shocked.) Okay, that’s why you didn’t
want me to touch him right? Here you go! Okay? (Hands Wayne the arm and he goes to fix it.
Meanwhile Joey starts to berate himself.) Stupid! I can’t believe it! God! (A very
beautiful woman walks by.) (To her) Hey, how you doin’? (He and her go over to talk
and Wayne looks on with envy.)"
214,Rachel," So it seemed that my prom date had stood me up, so Ross selflessly,
offered to take me."
217,Rachel," Wow! I definitely did not see that one backfiring! I’m gonna
go to the bathroom."
218,Ross," Yeah, take your time. "
220,Ross," (to Paul) Just-just so you know I was a freshman and she was a senior. So
it wasn’t as bad as-as…"
222,Ross, Not all bad.
224,Ross, Yeah. You know what? I know what you mean; I do that too.
226,Ross," No! No! Not—I don’t mean I-I see her as a twelve-year-old girl!
I mean I-I have a son, who’s umm six and I still think of him as a baby."
228,Ross," Yeah, well my-my ex-wife and I share custody of Ben and umm, uh, and just
so you know, Carol and I are on excellent terms as I’m sure you are with your
wife! (Realizes) Oh, I’m sorry! (To Elizabeth) It’s unbelievable!"
230,Rachel," Oh we were, but that was just a (pause as the audience reacts), I mean
that was just a big drunken mistake."
231,Ross, You’re back.
233,Rachel," Oh! Whoops! I’m sorry, you were talking about Emily!"
236,Monica," Chandler, we said we would meet at the coffeehouse at six."
237,Chandler, We said seven!
238,Monica, We said six!
239,Chandler," The only way that I said six would be if the seven’s, let meet at
seven, not at six."
240,Monica," Yeah and if I had seven, maybe I would’ve said something like this,
""Wow! My boyfriend’s such a wise ass—seven!"""
241,Phoebe, (Turning around in the chair) Hi!
242,Chandler, Oh my good God.
243,Monica, Ugh!
244,Phoebe, I know what time you said.
245,Chandler, What?!
246,Phoebe," Well actually, I know what time Chester and Marcia said."
247,Monica, What time?
248,Phoebe," Quite an interesting turn of events, suddenly it’s my book to the
rescue, huh? (Reading her book) Ooh, very interesting. Yeah, well this certainly clears
things up."
249,Chandler, (disgusted) What does it say?!
250,Phoebe, I will tell you as soon as you thank me for writing my book.
251,Chandler," Thank you for writing your book. Its-its uh, great book and you are
the queen of everything."
252,Phoebe, Thanks! So are you.
253,Chandler," (To Monica) I told you I should not wear this color. (He’s
wearing a reddish-orange sweater.)"
254,Phoebe," (reading from her book) Mon… (Pause as she restarts) Marcia and
Chester are planning on seeing a movie on Sunday night. Marcia thinks they’re
supposed to meet at six, Chester thinks it’s at seven."
255,Chandler, So you knew we were gonna miss the movie!
256,Phoebe, That’s right.
257,Monica, Inside of telling us you decided to write in your stupid book!
258,Phoebe, (writing in her book) Marcia and Chester are mad at Phyllis.
260,Joey, I can’t believe I’m going to lose this job!
261,Chandler, Oh I’m so sorry man! Is there anything I can do?
262,Joey, Yeah! Help me get this mini-fridge past the security guard.
265,Joey," Yeah? Well, I don’t want to talk to you Wayne! I hate you! You ruined
my life! Oh, Chandler, Wayne. Wayne, Chandler. (They shake hands.)"
266,Chandler," Hi, how are ya?"
268,Joey, (incredulous) Why should I help you?!
269,Chandler, (whispering in Joey’s ear) The reason he just said.
270,Joey, (happily) What do you need?
272,Joey, Yeah?
274,Joey, What are you in love with her or something?
276,Chandler," Yeah, I’ve been there my friend."
278,Joey," Oh wow Wayne, it’s not really something you can teach y’know?
It’s pretty much something you’re born with if you—(Off Chandler’s
look)—You-you can teach it! I’ll show you right how to do it."
280,Rachel," I mean if you think about it, I mean Ross did learn something from each
marriage."
282,Rachel," Now wait a minute that’s not fair. He was married to me a hell of a
lot longer than he was married to Emily, he just didn’t tell me. (Everyone looks at
her, Ross not happily.) Maybe I have to pee again. (Gets up to try to use the bathroom.)"
284,Ross," Y’know what? I-I-I… I-I have had enough of this! Y’know,
I-I-I care a great deal about your daughter and I have treated her with nothing but
respect! So if-if you’ve got a problem with me, frankly…"
286,Ross, God no!
289,Ross," Well if it doesn’t matter to her, it doesn’t matter to me! (to
Paul) Still not yelling!"
291,Ross," That’s okay, I’m not so crazy about myself right now either."
293,Ross," Uh yeah, I guess—Yeah! I guess so."
296,Ross, Ohhh! Kids!
297,Rachel," (returning) Wait-wait-wait, I just thought of another story about how
nice Ross is!"
298,Ross," That’s okay Rach, we’re not liking Ross right now."
299,Rachel, Oh! I’ve got a lot of those too!
302,Joey," Well, it turns out you were right C.H.E.E.S.E."
304,Joey," You got it! And the rabbi’s beard, 100% horsehair. Nice catch
C.H.E.E.S.E.! (Pauses as he waits for C.H.E.E.S.E.’s next line.) It’s your line
C.H.E.E.S.E.! (Suddenly C.H.E.E.S.E. goes crazy and starts flinging it’s arms and
advancing on Joey behind the desk.) Wayne! Wayne!!"
0,Phoebe," (dejected) Hi, you guys."
1,Chandler, Hey!
2,Monica, Hi!
3,Rachel, What’s the matter?
4,Phoebe," Well it’s just—it’s one of those situations that I just
hate. Y’know? A massage client gave me three tickets to the Helmet-Pelts exhibit at
the Morgan Chase museum."
5,Joey, (nodding knowingly) Now you’re thinking you gotta sleep with him.
6,Phoebe," No! No! It’s just that he gave me three tickets and there are six
of us!"
7,Chandler, I’ll give up my ticket.
8,Joey, Me too.
9,Phoebe, Okay that’s so generous!
10,Chandler, And I think Ross is generous too.
11,Phoebe, Great! Okay then it’s just us girls!
13,Phoebe, Yeah.
14,Rachel, So what-what is the exhibit.
15,Phoebe," It’s mostly just photographs of lesbian love scenes interspersed
with video games and free sandwiches."
16,Joey, Oh man! (Hits Chandler)
17,Ross, (entering) Hey!
18,Rachel, Hi!
19,Chandler, Hey!
20,Joey," Hey Ross listen Chandler got you out of going to the lesbian sandwich
museum this weekend!"
21,Ross, Thanks? But I have plans; Elizabeth and I are going out of town.
22,Monica, Oh that’s great!
23,Ross, Yeah.
24,Monica, I mean think about all the money that you’re gonna make!
25,Ross, Why? What?
26,Monica," Well, her father pays you for baby-sitting right?"
27,Ross," No, no, that’s funny. But maybe it’s time to move on, let it go,
y’know? Stop it! Besides, Rachel is going out with Elizabeth’s father, so ah,
he’s much older than she is. Looks like I’m not the only one interested in
fossils, huh?"
28,Rachel," I mean Ross all that does is remind us that you are interested in
fossils."
29,Ross," Okay, okay. Uh, well uh, Rachel is going to need to yell sweet nothings
(Paul enters) in his ear. "
31,Chandler, Ross.
32,Ross," Oh, come on you guys; that’s funny! Y’know? Because he’s
need—he’s got like a hearing aide y’know, ‘cause-‘cause
y’know, ‘cause he’s all old, and… "
35,Ross," Really? That okay, that’s great."
37,Ross," All right look, I-I realize it upsets you."
39,Ross," But, Elizabeth and I are-are both adults and so I don’t think
there’s really anything you can do about it."
41,Ross, Ohh! A man with a plan!
44,Phoebe," Oh, this is so exciting! You get your picture back up on the wall of
fame! Eek!"
45,Joey," I know. It was so cool when I was up there before. Me and Jim Belushi
would just be crackin’ up about something… Then I get fired off of Days Of
Our Lives and he takes me down. Now he’s just laughing at me. Look at him, that
smug Belushi bastard, I’ll…"
46,Phoebe," (gasps) Ohh, okay maybe they put your picture back up they can put you
next to Matt Lauer. Look at him, smiling at me. (Giggles) Yeah I know; we’d be great
together!"
48,Joey, Hey! So I’m back.
50,Joey," Joey Tribbiani! From the wall! (The dry cleaner doesn’t remember)
Okay, maybe this will jog your memory, huh? (Holds his picture up in front of his face.)
Huh? Okay eh-ah-anyway, I’m ready to go back up on the wall I’m the star of a
new TV show."
52,Joey," Oh well, it’s not on TV yet."
54,Joey," Okay, fine, I will bring you a tape, huh? (Walks away)"
55,Phoebe," So umm, now do you have any of Matt Lauer’s clothes here? Maybe?
Just ones that haven’t been cleaned yet? "
58,Monica," Oh, I love museums!"
59,Rachel, Umm.
60,Monica, Soakin’ up all the culture.
61,Rachel, Yeah.
62,Monica, Where do you want to start?
63,Rachel," Ooh, the gift shop!"
64,Monica, Yeah!
65,Phoebe," Hey, and then lunch."
66,Rachel," Oh, wait yes, but I can’t eat too much. Paul is taking me out to
dinner tonight, he said he has a big surprise planned."
67,Phoebe," Oh wow. What, do you think maybe he’s gonna tell you that he’s
gay?"
68,Rachel, What?! No! Why?!
69,Phoebe," No reason! That would just be a really big surprise, right?"
72,Rachel, I didn’t know you could get married here.
73,Monica," This would be a beautiful place to get married, yeah, but I
wouldn’t put the aisle there and I would never have the ceremony there!
(Points to both places.) I mean you’d have the ceremony under this big beautiful
arch. (The arch at the entrance to the room.) "
75,Rachel," Oh sorry didn’t mean to interrupt. It’s just such a beautiful
space; do you do a lot of weddings here?"
77,Rachel," Monica, you should totally put your name down on the list"
78,Monica," What?! Are you crazy?! I’m not getting married! I’m not even
engaged."
79,Phoebe," Yeah, but there’s a two-year wait. And then what if you get engaged
in two years and then you got to wait another two years for this place. That’s
four years. Chandler’s not gonna wait that long. He’s gonna find somebody else,
y’know? Someone, someone who did put their name on the list. (Rachel agrees.)"
80,Rachel," Yeah hon, it can’t hurt to put your name down! I mean in if two
years if you’re not engaged you just don’t use it."
81,Monica," Well, I mean I guess there is no harm in putting my name down."
82,Rachel, I’m gonna do it too!
83,Phoebe, Me too!
84,Rachel," Really? Who would, who would you marry?"
85,Phoebe," I don’t know, I don’t have anyone right now. Y’know?"
86,Rachel, Oh Pheebs.
87,Phoebe, Don’t feel too sorry for me. At least my boyfriend isn’t gay.
88,Monica," Phoebe, that stuff is…"
89,Phoebe, Don’t even get me started on yours!
91,Joey," (entering) Hey! So, did you watch the tape of my show?"
93,Joey," All right, let’s get me back up there! (Holds out his picture.)"
95,Joey, What—But you saw the show!
97,Joey, Dry cleaners?
99,Joey," Okay! Okay, look! You-you-you got Harrison Ford up there!"
101,Joey," Okay well that may be true. But, in-in okay, Air Force One the
Russians were terrorists! And evil! And plus he kills a bunch of them!
That-that-that’s offensive to Russians."
103,Joey," Oh you should, it’s great."
106,Ross, This place is really beautiful!
108,Ross," Wow! The only thing I got from my Grandmother was her eyes. I mean not-not
her actual eyeballs, but, but people say that my eyes—Do-do you want to make out?"
112,Ross," Ehh, I was just, I was just thinking about your father."
114,Ross," No. No-no uh, he just, he just really freaked me out before."
116,Ross, Yeah.
119,Ross," (loudly) Why?! Are there like bears or something?! (Looks around and then
sees that Elizabeth is shaking her head no and realizes what Elizabeth meant.) Ohh. Oh,
protection. Yeah-no, yeah-no, that-that-that I forgot."
121,Ross," Oh no! Hey-hey, I’m the guy! I’ll get it."
123,Ross, No.
125,Ross, A little bit.
127,Ross, Okay.
129,Ross," Ohh, okay."
131,Rachel," (from another room) Oh my God, what a great surprise! This is such a
beautiful house."
136,Chandler," (on machine) You’ve reached Monica and Chandler’s, if
you’re listening to this message, we’re probably screening. (to himself) Yeah we
are."
138,Chandler," (on phone) This is Chandler Bing! This is Chandler Bing! (Listens)
Yes, the groom—No! Not the groom!!"
141,Rachel, It’s so secluded up here.
143,Rachel," I feel like we’re the only two people in the world. (She sets down
her wine class, picks up a walnut, and knocks another one on the floor.) Oops. Sorry. (She
reaches down to pick it up and Ross hands it to her. Ross is hiding under the couch and
causes Rachel to scream.)"
145,Rachel," No-no! Big bear! Big bear outside! I think I-I—would
you—actually, would you go check on that?"
147,Rachel," Well, okay. Would-would you get me a Diet Coke?"
149,Rachel," Okay. (After Paul leaves Rachel drops to the floor to confront Ross.)
What?! What are you doing here?!"
150,Ross, What are you doing here?!
151,Rachel, I came with Paul!
152,Ross," Yeah, I recognize the ankles!"
153,Rachel, Get up!
155,Rachel, Ahh. Thank you!
157,Rachel," Op, ice. I need ice."
159,Rachel, Thank you.
161,Ross, (under the couch) You and your ice.
162,Rachel," Ugh! Get out! Get out! Go! Come on! (Ross gets up and heads for the
kitchen.) No! Not in there! He’s in there! (She points Ross to the door next to the
kitchen.)"
163,Ross, (before entering) Did you really hear a bear?
164,Rachel, Go-go!
166,Rachel," Ohh, thank you."
173,Rachel," Well, she-she ob-obviously saw the tire tracks that were leading up to
the closed garage."
176,Rachel, Did-did you come up here to work on that term paper or something?
178,Rachel," Well, why do y’know go in that room (points to the room Ross is in)
and do your homework?"
180,Rachel," That’s your, that’s your dad’s bedroom. (Yelling)
That’s your dad’s bedroom!"
182,Rachel," Whoa, that Diet Coke just went straight to my head! Woo!"
184,Monica," Hi, honey."
185,Chandler, (gets up) See you later. (Starts to leave.)
186,Monica," What? I-I bought groceries, I was gonna make you dinner!"
187,Chandler," (angrily) Well next time ask! Or at least wait for me to ask! (He
storms out.)"
190,Monica, Oh no!
192,Monica," Oh please, he didn’t hear it! He didn’t hear it!!"
193,Chandler," (on machine) This is Chandler Bing! This is Chandler Bing! (The
machine beeps off.)"
194,Monica, NOOOO!!!!!!!!
197,Joey," Uh yeah, where-where’s the guy who decides who’s pictures go up
on the wall?"
199,Joey," Oh, you’re kidding me! All-all right, well make sure you tell him
that Joey Tribbiani stopped by to drop off all of these clothes. Okay? I’m an actor;
I’m kinda getting my picture up there on the wall."
201,Joey," Oh really? Well, maybe you and I go out for drinks? (Pause) You’re
the other one right? (She thinks about it for a second and nods yes.)"
207,Rachel," Really? Okay. Okay, I-I’ll go upstairs. (to Paul) If-if you get me
something from the car."
209,Rachel, Surprise me.
211,Rachel," (yelling) So you’re gonna be in the car, I will be upstairs, and
that’s where everybody’s gonna be!"
216,Monica, Phoebe!
217,Phoebe, Yeah?
218,Monica, Have you seen Chandler?!
219,Phoebe, No! Why?
220,Monica," The woman from the museum called and said that there was a cancellation
and that we could move up our wedding and Chandler heard! (Phoebe gasps.) I know! How bad
is this?!"
221,Phoebe," Well for the regular guy, it’s bad, but Chandler, Oh dear God!"
222,Monica," I know! I know! And he totally freaked out and I can’t find him
anywhere!"
223,Phoebe, What are you gonna do?
224,Monica," Well, I’m never gonna listen to you again, that’s for sure!
(Mimicking her.) ""Y’know, harm can it do if you go and put your name down?"""
225,Phoebe, Rachel said that!
226,Monica, Well Rachel’s not here! (Runs out.)
228,Phoebe," Oh! Here it is! (Noticing it next to the door.) Ooh, Joey! Why did you
sign it, ""Son of a bitch?"" (Son of a bitch is written across the entire
picture.)"
229,Joey, I didn’t do that! Who would’ve done that?!
231,Phoebe," Okay, maybe ask this guy."
233,Phoebe," Well, what did he do?"
235,Phoebe, Joey!
236,Joey," Whoa-whoa-whoa-whoa, I-I—Hey! I did not go out with your wife!
(The same woman from before enters.) Okay? I went out with her! (Points at her.)"
238,Phoebe," Well, we should go."
239,Joey, Yeah.
242,Ross," Elizabeth! (He opens one of the bed stands that he has curled himself up
into.) Okay. Okay. (She helps him out.) I’m gonna go out this window. (Points to the
window next to him.) I’ll meet you at the front door. Just tell them you’re
going home, okay?"
244,Rachel," (yelling from the living room) Oh wait-wait-wait!! No! Don’t go in
there! Don’t go in there! I need another soda!"
247,Rachel, Oh my God Ross! What in heaven’s name are you doing here?
248,Ross, (to Elizabeth) And that is why we cannot see each other anymore.
254,Ross," Okay, please-please Paul, just let me explain…"
256,Ross," All right, fine! Fine! Have me fired! But uh, I want you to know that you
and I are not all that different. I mean, I too am a neat guy. (Paul just looks at him.)"
258,Ross," And I too am just a love machine. (Hums a little bit and mimics
Paul’s flexing.)"
261,Monica," (going over to him) I’m so sorry. Please, stop freaking out."
262,Chandler," I’m not freaking out. Why would I be freaking out? A woman named
Heldi called and said we were getting married, but that happens everyday. (Does one of
those Chandler noises.)"
263,Monica," Honey, we were at this beautiful place, and I-I-I just put our names
down for fun! I mean, what’s the harm in that?"
264,Chandler, Right here! (Clucks like a chicken for some reason.)
265,Monica," Chandler, please don’t think I was trying to pressure you. Phoebe
and Rachel…"
266,Chandler," Phoebe and Rachel! So the people that knew about our wedding before me
were you, Phoebe and Rachel, Heldi, and apparently some band called Starlight Magic 7 who
are available by the way!"
267,Monica," It was a mistake. Please don’t take this to mean anything, because
it doesn’t."
268,Chandler, Okay.
269,Monica, Really?
270,Chandler," Yes, if it really doesn’t mean anything, because you know that
I’m just not ready…"
271,Monica, I know! I know.
272,Chandler, Okay. (They hug.)
273,Monica," I’m gonna go tell Joey that (laughs) that you’re back. I was
really worried about you. (Exits.)"
274,Phoebe," (entering from her room) Hey, did she buy it?"
275,Chandler, Totally.
276,Phoebe, So did Heldi show you the place?
277,Chandler," Yeah, it’s beautiful."
278,Phoebe, I can’t believe you’re gonna ask Monica to marry you!
279,Chandler, I know.
283,Joey, Hey Gunther.
285,Joey," Oh uh, well I just came in for a cup of coffee to go."
287,Joey," No! No, I quit a long time ago. (Pause) Did I forget to you that one?
I’m sorry."
289,Joey, Great! (Takes his coffee and leaves.)
0,Chandler," Pheebs, can you help me pick out an engagement ring for Monica? I
can’t figure this out! It’s so hard! Should I get her a (turning to each page)
Tiffany cut or a Princess cut or a—ah-ah! Paper cut!"
1,Phoebe," Now, have you told anyone else?"
2,Chandler," No, I don’t want to tell anybody else because I don’t want
Monica to find out."
3,Phoebe, You told me.
4,Chandler," Well, it’s because I trust you, you’re one of my best
friends, and you walked in on me when I was looking at ring brochures."
5,Phoebe," Yeah well, once again not knocking pays off. I only wish you hadn’t
been on the toilet."
6,Chandler, Me too.
8,Joey, Hey. (Heads straight for the fridge.)
9,Chandler, Hey.
10,Phoebe," Hey! So Chandler, wanna go to the coffeehouse? "
11,Chandler, Oh all right.
12,Phoebe," Yeah, coffeehouse."
13,Ross," Oh perfect, we were just gonna see if you wanted to go."
14,Chandler," Oh well, we don’t because we got…the…other pl-place."
16,Ross, How rude.
17,Joey," Oh, I’m sorry. You wanna bite? (Holds his piece out for him.)"
20,Phoebe, So how are things going with Paul?
21,Rachel," Good. Although y’know, he-he’s a private guy. Y’know, I
wish I could get him to open up a little bit, share some feelings."
22,Phoebe," That’s easy! You just have to think of him as a-as a jar of pickles
that won’t open."
23,Rachel," So what are you saying; I should run him under hot water and bang his
head against a table?"
24,Phoebe," No that’s what you do when you want to get the truth out of
someone."
26,Rachel, Hi!
27,Phoebe, (To Rachel) Watch this.
29,Rachel, (To Phoebe) Okay.
30,Phoebe, Hi Paul!
32,Phoebe, So how are things going with you?
36,Rachel, Okay. (Gets up and starts to leave with Paul.)
38,Ross, Hi!
41,Ross, Great to see you!
43,Ross, How you doing?
45,Ross, Okay! You take care! 
47,Ross," Hey Pheebs, what-what was the deal with you and Chandler blowing us off
before?"
48,Phoebe," Yeah! That was so weird, huh?"
49,Ross," Phoebe, why’d you do it?"
50,Phoebe," I didn’t do it! It was Chandler! He’s… He’s mad at
you!"
51,Ross, What?! Why?!
52,Phoebe," Please, I think you know why."
53,Ross, I can’t think of anything.
54,Phoebe," Come on Ross, you’re a paleontologist, dig a little deeper."
55,Ross," Wait a minute, is it because Joey and I didn’t invite him to that
Knicks game a couple of weeks ago?"
56,Phoebe, Do you think that’s something that he’d be mad at you for?
57,Ross, I guess it could.
58,Phoebe, Well then I think that’s it.
59,Ross," Well, if he’s angry, he really shouldn’t just cover it up. I-I
wish he would just tell me the truth."
60,Phoebe," Oh, if that’s what you want you then you really should run his head
under hot water and bang his head against a table."
63,Rachel," Yeah that’s great. But first, wait, talk to me, talk to me. Tell me
about your day."
65,Rachel," Okay. Hey, what are you thinking? What are you thinking right now?"
67,Rachel," Yeah that’s great Paul, but y’know I wanna know
what—(Puts her hands on his shoulders)—Wow, those are really great! I just wanna
know what, what is behind this-this strong, silent exterior. Y’know they say that
still waters run deep and I wanna swim in yours."
69,Rachel," No Paul, I don’t know anything about you! Y’know, like-like
your childhood! Tell me about your childhood!"
71,Rachel," Okay, well then how about puberty! Come on, that’s always a painful
time! Y’know your friends invite you to a slumber party and then they stick your hand
in warm water while you’re sleeping so that you pee in your sleeping bag."
73,Rachel," Well, you’re lucky you never met that bitch Sharon Majesky. Anyway,
umm… The rest of you life, y’know? Any regrets?"
75,Rachel," All right Paul, I’m not asking for a lot here. Okay? Just give me
something. Anything!"
77,Rachel, Okay.
79,Rachel, All right.
81,Rachel, Hm-mmm.
83,Rachel," That’s-that’s great! See? I already feel like I know you a
little better! Thank you. Okay, come on. Now we can go eat. Let’s go. (Gets up to
leave, but Paul doesn’t move.)"
85,Rachel, Oh!
88,Rachel," Yeah. Yeah, I-I-I see the scare. Listen, Paul, I think this is really
great that-that y’know, you shared your feelings. It’s really, it’s
beautiful, but umm, what do you say we go share some food?"
90,Rachel," What?! Wait! What are you talking about?! You love their Kung Pao
Chicken!"
92,Rachel," My God, I’m sorry! I’m sorry! I didn’t mean to do that! I
wouldn’t do that!"
95,Chandler," Nothin! This is the nine millionth ring store we’ve been too and
I can’t find the perfect ring! (Goes over to another display counter and starts
pointing at rings.) Ugly ring! Ugly ring! Ugly ring! (Notices that one of the jewelers is
watching him.) It’s a beautiful selection. (The jeweler walks away slowly.)"
96,Phoebe," Okay, so maybe you don’t get her a ring. Maybe you-maybe you do
something different. Y’know? Maybe you get her an engagement bracelet, y’know?
Or an engagement tiara? Or—ooh! An engagement Revolutionary War musket! (Picks one up
from the display in the corner."
97,Chandler," Y’know, I’m so glad I picked you to help me with this."
98,Phoebe," Huh? Can you just imagine getting down on one knee and handing her this
gorgeous piece of weaponry?"
99,Chandler," Yeah, I’m gonna stick with the ring. (Goes to another display
counter.) Oh, this one’s nice! (Pointing to another ring.) I like this one! Sir? Uh,
kind sir? Can I see this one?"
100,Phoebe," (coming over after returning the musket) Wait a minute, no, this is,
this is the reason you brought me. Okay? I know how to haggle. So let me handle this from
here on out."
102,Chandler," Uh-uh, yes. I would like to see that ring please."
103,Phoebe," Or not, whatever."
105,Chandler," Sir, can I ask you to umm, could you…hold out that ring and ask
me to marry you?"
